"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","Band_1","Band_2","Band_3","Band_4","Band_5","lookupNum","issueYear","bandMetal_fromManufactureRecords","bandMetal_BACKFILLED","groupInit",
"12",4,"Returned","ML",40,"41922","42000",79,0.1272,0.1264,0.1268,"NA","NA",4041922,"63","ML","ML",,
"12",4,"Returned","ML",40,"42028","42100",73,0.1267,0.1259,0.127,"NA","NA",4042028,"63","ML","ML",,
"12",4,"Returned","ML",40,"44427","44500",73,0.1276,0.1275,0.1279,"NA","NA",4044427,"63","ML","ML",,
"12",4,"Returned","ML",40,"49612","49699",88,0.1247,0.1251,0.124,"NA","NA",4049612,"63","ML","ML",,
"12",4,"Returned","ML",40,"49907","50000",94,0.125,0.1243,0.1246,"NA","NA",4049907,"63","ML","ML",,
"12",4,"Returned","ML",40,"52511","52600",90,0.1253,0.1247,0.1242,"NA","NA",4052511,"64","ML","ML",,
"12",4,"Returned","ML",40,"53401","53500",100,0.1246,0.1252,0.1255,"NA","NA",4053401,"64","ML","ML",,
"12",4,"Returned","ML",40,"56084","56090",7,0.1235,0.1228,0.124,"NA","NA",4056084,"NA","ML","ML",,
"12",4,"Returned","ML",40,"57801","57900",100,0.121,0.1217,0.1219,"NA","NA",4057801,"NA","ML","ML",,
"NR",5,"Retained","AM",50,"416","435",20,0.211,0.2092,0.2105,"NA","NA",5000416,"NA","NA","AM",0.2017388889,
"NR",5,"Retained","AM",50,"11101","11200",79,0.2,0.2,0.2001,"NA","NA",5011101,"NA","NA","AM",,
"NR",5,"Retained","AM",50,"24110","24197",88,0.2021,0.2056,0.2044,"NA","NA",5024110,"NA","NA","AM",,
"NR",5,"Retained","AM",50,"28104","28150",47,0.2005,0.2008,0.1999,"NA","NA",5028104,"NA","NA","AM",,
"NR",5,"Retained","AM",50,"76001","76100",100,0.1971,0.1974,0.1972,"NA","NA",5076001,"NA","NA","AM",,
"NR",5,"Retained","AM",50,"89001","89010",10,0.1976,0.1988,0.1991,"NA","NA",5089001,"NA","NA","AM",,
"NR",5,"Retained","AY",51,"33001","33015",15,0.108,0.1057,0.1073,"NA","NA",5133001,"NA","NA","AY",0.1055111111,
"NR",5,"Retained","AY",51,"50991","51000",10,0.1073,0.1112,0.1073,"NA","NA",5150991,"NA","AY","AY",,
"NR",5,"Retained","AY",51,"76001","76010",10,0.1048,0.1046,0.1052,"NA","NA",5176001,"NA","AY","AY",,
"13",5,"Returned","AY",51,"89968","89978",11,0.105,0.104,0.1029,"NA","NA",5189968,"NA","AY","AY",,
"13",5,"Returned","AY",52,"4151","4200",50,0.1032,0.1045,0.1037,"NA","NA",5204151,"NA","AY","AY",,
"13",5,"Returned","AY",53,"1111","1199",89,0.1056,0.1048,0.1041,"NA","NA",5301111,"NA","AY","AY",,
"NR",5,"Retained","IN",51,"23991","24000",10,0.2105,0.2107,0.212,"NA","NA",5123991,"NA","NA","IN",0.2153733333,
"NR",5,"Retained","IN",51,"27991","28000",10,0.2242,0.2137,0.2098,"NA","NA",5127991,"NA","NA","IN",,
