"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","Band_1","Band_2","Band_3","Band_4","Band_5","lookupNum"
"10",8,"Returned","ML,AM,AY,SS","081","11591","11600",10,0.4821,0.4776,0.4793,"NA","NA","08111591"
"10",8,"Returned","ML,AM,AY,SS","081","16117","16126",10,0.4559,0.4546,0.4555,"NA","NA","08116117"
"10",8,"Returned","ML,AM,AY,SS","081","18369","18380",12,0.4529,0.4523,0.4516,"NA","NA","08118369"
"10",8,"Returned","ML,AM,AY,SS","081","21959","21965",7,0.452,0.4524,0.4509,"NA","NA","08121959"
"10",8,"Returned","ML,AM,AY,SS","081","22212","22215",4,0.4522,0.453,0.4527,"NA","NA","08122212"
"10",8,"Returned","ML,AM,AY,SS","081","32057","32099",49,0.4415,0.4413,0.4427,"NA","NA","08132057"
"10",8,"Returned","ML,AM,AY,SS","081","39153","39200",48,0.4426,0.4421,0.4414,"NA","NA","08139153"
"10",8,"Returned","ML,AM,AY,SS","081","67725","67753",29,0.9524,0.945,0.9258,"NA","NA","08167725"
"10",8,"Returned","ML,AM,AY,SS","081","89734","89750",17,0.6001,0.5998,0.5974,"NA","NA","08189734"
"10",8,"Returned","ML,AM,AY,SS","082","03501","03550",50,0.6159,0.6123,0.6146,"NA","NA","08203501"
"10",8,"Returned","ML,AM,AY,SS","082","13921","13961",40,0.6128,0.6122,0.618,"NA","NA","08213921"
"10",8,"Returned","ML,AM,AY,SS","082","13983","14000",19,0.612,0.6124,0.613,"NA","NA","08213983"
"10",8,"Returned","ML,AM,AY,SS","082","17001","17050",50,0.6126,0.6095,0.6127,"NA","NA","08217001"
"10",8,"Returned","ML,AM,AY,SS","082","30501","30501",1,0.9085,"NA","NA","NA","NA","08230501"
"10",8,"Returned","ML,AM,AY,SS","081","39843","39850",8,0.4404,0.4402,0.4401,"NA","NA","08139843"
"10",8,"Returned","ML,AM,AY,SS","082","43160","43200",41,0.8313,0.8286,0.8301,"NA","NA","08243160"
"10",8,"Returned","ML,AM,AY,SS","082","66734","66750",12,0.8665,0.8664,0.8732,"NA","NA","08266734"
"10",8,"Returned","ML,AM,AY,SS","082","67024","67100",57,0.8644,0.8625,0.8653,"NA","NA","08267024"
"10",8,"Returned","ML,AM,AY,SS","082","74359","74359",1,0.7888,"NA","NA","NA","NA","08274359"
"9",9,"Returned","AM,SS","090","32502","32600",99,0.7418,0.738,0.7408,"NA","NA","09032502"
"9",9,"Returned","AM,SS","090","34551","34600",50,0.743,0.7445,0.7467,"NA","NA","09034551"
"9",9,"Returned","AM,SS","090","41796","41797",2,0.7608,0.7594,"NA","NA","NA","09041796"
"9",9,"Returned","AM,SS","090","46410","46500",45,0.76,0.7585,0.7597,"NA","NA","09046410"
"9",9,"Returned","AM,SS","090","49518","49590",67,0.7592,0.7565,0.7572,"NA","NA","09049518"
"9",9,"Returned","AM,SS","090","53581","53600",20,0.7376,0.7354,0.7375,"NA","NA","09053581"
"9",9,"Returned","AM,SS","090","54076","54100",25,0.7373,0.7392,0.7286,"NA","NA","09054076"
"9",9,"Returned","AM,SS","090","66034","66039",4,0.7344,0.734,0.7351,"NA","NA","09066034"
"9",9,"Returned","AM,SS","090","78475","78484",10,0.7321,0.7355,0.7311,"NA","NA","09078475"
"9",9,"Returned","AM,SS","090","87909","88000",86,0.7204,0.72,0.7302,"NA","NA","09087909"
"9",10,"Returned","AM,SS","100","00208","02110",2,0.8987,0.8902,"NA","NA","NA","10000208"
"9",10,"Returned","AM,SS","100","03353","03400",48,0.8717,0.88,0.8721,"NA","NA","10003353"
"9",10,"Returned","AM,SS","100","24528","24550",22,0.8745,0.8719,0.8705,"NA","NA","10024528"
